Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,156122219,10/28/2025 05:50,10/31/2025 14:55,EURUSD,Buy,0.200,0.00000,0.00000,1.16552,1.15664,0.0000,-10.7800,-88.8,-188.38,-1.58,"",0,03:09:04:58,19.7,15h 58m,117.4,8.40,12.5,25.0,-104.9,-209.8,10.6,13.7,-101.30,-202.60
,154847514,10/30/2025 14:09,10/31/2025 06:26,USDJPY,Sell,0.240,153.95000,152.00000,154.00200,153.95100,0.0000,-2.9800,5.1,4.97,0.04,"[sl]",0,00:16:16:12,27.1,4h 24m,51.8,1.24,33.7,52.572,-41.7,-65.052,44.7,62.1,-28.60,-44.62
,156125655,10/28/2025 17:29,10/29/2025 11:46,XAUUSD,Sell,0.020,4015.00000,3800.00000,3949.98000,4015.08000,0.0000,0.9700,-6510.0,-129.23,-1.07,"[sl]",0,00:18:16:30,10.0,1h 49m,8144.0,3.99,1634.0,32.68,-6510.0,-130.2,20.1,0.0,-8144.00,-162.88
,156104053,10/23/2025 19:20,10/28/2025 18:44,VIX_X5,Sell,150.000,0.00000,0.00000,19.04000,18.52000,0.0000,0.0000,52.0,78.00,0.65,"",0,04:23:24:06,,,,,,,,,,,,
,156127134,10/28/2025 16:52,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-1000.00,0,"AutoTrf 79371529/to USD13814600",0,00:00:00:00,,,,,,,,,,,,
,156059535,10/17/2025 04:18,10/28/2025 13:45,EURJPY,Sell,0.250,0.00000,0.00000,175.92700,177.10700,0.0000,-14.7400,-118.0,-209.01,-1.59,"",0,11:09:27:31,36.6,4d 4h ,310.1,2.61,85.9,141.735,-224.2,-369.92999999999995,27.7,34.2,-203.90,-336.44
,156094174,10/22/2025 13:53,10/28/2025 13:38,XAUUSD,Sell,0.020,4168.00000,0.00000,4044.33000,3914.18000,0.0000,5.5000,13015.0,265.80,2.06,"",0,05:23:45:35,20.4,1d 5h ,13365.0,0.71,14738.0,294.76,-10475.0,-209.5,58.5,93.2,-1723.00,-34.46
,155943803,09/29/2025 05:42,10/28/2025 11:30,XBRUSD,Buy,1.500,0.00000,0.00000,69.34000,64.29000,0.0000,49.8700,-505.0,-707.63,-5.20,"",0,29:05:47:45,,,,,,,,,,,,
,156099147,10/23/2025 05:51,10/23/2025 14:40,XBRUSD,Buy,1.000,0.00000,0.00000,64.20000,65.54000,0.0000,0.0000,134.0,134.00,1.00,"",0,00:08:48:50,,,,,,,,,,,,
,155729442,08/13/2025 03:59,10/23/2025 04:27,AUDNZD,Sell,0.150,1.14270,0.00000,1.09622,1.13137,0.0000,-29.6300,-351.5,-332.26,-2.41,"",0,71:00:28:02,2.9,2d 1h ,478.6,24.63,18.7,16.082,-459.9,-395.51399999999995,3.9,22.6,-370.20,-318.37
,156097253,10/22/2025 20:27,10/23/2025 04:09,VIX_X5,Sell,50.000,0.00000,0.00000,19.94000,19.48000,0.0000,0.0000,46.0,23.00,0.17,"",0,00:07:42:15,,,,,,,,,,,,
,156088299,10/21/2025 19:38,10/23/2025 04:02,XBRUSD,Buy,1.000,64.15000,0.00000,61.58000,64.14000,0.0000,2.3400,256.0,258.34,1.91,"[sl]",0,01:08:24:00,,,,,,,,,,,,
,156095086,10/22/2025 15:54,10/22/2025 17:43,VIX_X5,Sell,100.000,19.55000,0.00000,18.99000,19.57000,0.0000,0.0000,-58.0,-58.00,-0.43,"[sl]",0,00:01:49:05,,,,,,,,,,,,
,156091869,10/22/2025 09:33,10/22/2025 13:53,XAUUSD,Buy,0.020,4045.00000,0.00000,4145.69000,4044.36000,0.0000,0.0000,-10133.0,-202.66,-1.47,"[sl]",0,00:04:19:23,11.2,29m,11580.0,7.00,1447.0,28.94,-10133.0,-202.66,12.5,0.0,-11580.00,-231.60
,156065051,10/17/2025 16:01,10/22/2025 10:08,VIX_V5,Sell,100.000,27.00000,0.00000,24.00000,18.00000,0.0000,0.0000,6.0,534.00,4.03,"VIX_V5 exp 21/10	",0,04:18:06:52,,,,,,,,,,,,
,156067346,10/17/2025 19:29,10/22/2025 09:33,XAUUSD,Sell,0.010,0.00000,0.00000,4215.99000,4145.54000,0.0000,1.3700,7045.0,71.82,0.55,"",0,04:14:04:07,17.1,18h 49m,18498.0,0.90,17979.0,179.79,-16193.0,-161.93,52.6,68.0,-10934.00,-109.34
,156064721,10/17/2025 15:30,10/22/2025 06:34,XAUUSD,Sell,0.020,0.00000,0.00000,4294.36000,4128.91000,0.0000,2.7500,16545.0,333.65,2.60,"",0,04:15:03:54,81.6,3d 18h ,18498.0,0.32,25816.0,516.32,-8356.0,-167.12,75.5,72.9,-9271.00,-185.42
,156072191,10/20/2025 09:03,10/22/2025 03:45,XAUUSD,Sell,0.010,0.00000,0.00000,4234.57000,4083.41000,0.0000,0.9300,15116.0,152.09,1.20,"",0,01:18:42:28,30.5,13h 1m,15128.0,0.72,19837.0,198.37,-14335.0,-143.35,58.1,86.2,-4721.00,-47.21
,156059938,10/17/2025 05:24,10/21/2025 08:47,AUDNZD,Sell,0.300,0.00000,0.00000,1.12998,1.13535,0.0000,-1.8400,-53.7,-94.01,-0.74,"",0,04:03:23:11,7.7,7h 39m,75.0,2.87,19.4,33.367999999999995,-55.6,-95.632,25.9,2.5,-73.10,-125.73
,156064958,10/17/2025 15:53,10/17/2025 16:01,VIX_V5,Buy,100.000,23.00000,24.00000,24.00000,24.00000,0.0000,0.0000,0.0,5.00,0.04,"",0,00:00:07:32,,,,,,,,,,,,
,156059470,10/17/2025 04:04,10/17/2025 05:35,XAUUSD,Sell,0.020,4378.00000,4250.00000,4346.44000,4338.93000,0.0000,0.0000,751.0,15.02,0.12,"",0,00:01:31:29,89.1,1h 21m,6046.0,0.19,6657.0,133.14000000000001,-1267.0,-25.34,84.0,25.5,-5906.00,-118.12
,156042280,10/15/2025 05:10,10/17/2025 04:18,USDJPY,Sell,0.250,0.00000,0.00000,151.16900,150.32600,0.0000,-12.7400,84.3,127.46,1.01,"",0,01:23:07:56,59.7,1d 4h ,85.3,0.50,110.5,183.42999999999998,-54.9,-91.134,66.8,84.2,-26.20,-43.49
,156026942,10/13/2025 04:09,10/17/2025 04:03,XAUUSD,Buy,0.030,4348.00000,0.00000,4049.68000,4347.65000,0.0000,-8.8900,29797.0,885.02,7.54,"[sl]",0,03:23:53:36,99.3,3d 23h ,8045.0,0.01,31879.0,956.37,-321.0,-9.629999999999999,99.0,93.5,-2082.00,-62.46
,156046708,10/15/2025 17:24,10/16/2025 18:43,XBRUSD,Buy,1.000,0.00000,0.00000,62.79000,61.57000,0.0000,1.1600,-122.0,-120.84,-1.02,"",0,01:01:18:51,,,,,,,,,,,,
,156026944,10/13/2025 04:10,10/15/2025 20:13,XAUUSD,Buy,0.020,4188.00000,5000.00000,4049.63000,4187.35000,0.0000,-1.8900,13772.0,273.55,2.36,"[sl]",0,02:16:03:22,97.6,2d 14h ,8093.0,0.05,16824.0,336.48,-913.0,-18.26,94.9,82.8,-3052.00,-61.04
,156026637,10/13/2025 03:21,10/13/2025 20:20,XBRUSD,Buy,1.000,0.00000,0.00000,63.63000,63.78000,0.0000,0.0000,15.0,15.00,0.13,"",0,00:16:58:11,,,,,,,,,,,,
,156026907,10/13/2025 04:02,10/13/2025 14:36,EURUSD,Buy,0.200,1.15800,0.00000,1.16160,1.15800,0.0000,0.0000,-36.0,-72.00,-0.62,"[sl]",0,00:10:33:57,46.9,4h 57m,49.2,2.73,13.2,26.4,-36.0,-72.0,26.8,0.0,-49.20,-98.40
,156027265,10/13/2025 06:08,10/13/2025 10:38,USDJPY,Sell,0.100,0.00000,0.00000,151.92900,152.29200,0.0000,0.0000,-36.3,-23.84,-0.20,"",0,00:04:30:11,59.3,2h 40m,61.3,2.23,19.0,12.540000000000001,-42.3,-27.918,31.0,9.8,-55.30,-36.50
,156017810,10/10/2025 08:19,10/13/2025 06:08,EURJPY,Sell,0.100,0.00000,0.00000,176.81700,176.57000,0.0000,-0.6600,24.7,15.60,0.13,"",0,02:21:48:53,95.0,2d 18h ,84.3,0.21,105.7,69.762,-22.2,-14.652000000000001,82.6,36.7,-81.00,-53.46
,156025504,10/12/2025 18:05,10/13/2025 04:01,ETHUSD,Buy,1.000,0.00000,0.00000,4012.08000,4141.74000,0.0000,0.0000,12966.0,129.66,1.12,"",0,00:09:55:19,98.9,9h 48m,9697.0,0.45,17652.0,176.52,7955.0,79.55,182.0,51.7,-4686.00,-46.86
,155961935,10/01/2025 12:22,10/10/2025 17:17,XBRUSD,Buy,1.000,0.00000,0.00000,66.08000,63.95000,0.0000,10.2400,-213.0,-202.76,-1.73,"",0,09:04:54:30,,,,,,,,,,,,
,155978661,10/03/2025 16:51,10/10/2025 14:08,XBRUSD,Buy,0.500,0.00000,0.00000,64.94000,64.69000,0.0000,4.0000,-25.0,-8.50,-0.07,"",0,06:21:17:08,,,,,,,,,,,,
,155983982,10/06/2025 07:51,10/10/2025 14:08,XBRUSD,Buy,0.500,0.00000,0.00000,65.93000,64.69000,0.0000,2.2800,-124.0,-59.72,-0.51,"",0,04:06:16:39,,,,,,,,,,,,
,155928138,09/25/2025 05:36,10/09/2025 17:33,XAUUSD,Buy,0.020,4008.00000,0.00000,3739.62000,4007.99000,0.0000,-15.5500,26837.0,521.19,4.62,"[sl]",0,14:11:56:53,97.9,14d 4h ,7096.0,0.03,31799.0,635.98,-905.0,-18.1,97.2,84.8,-4962.00,-99.24
,156008057,10/09/2025 03:28,10/09/2025 05:03,XAUUSD,Buy,0.020,0.00000,0.00000,4026.15000,4013.82000,0.0000,0.0000,-1233.0,-24.66,-0.22,"",0,00:01:34:34,30.6,28m,2278.0,1.72,980.0,19.6,-1690.0,-33.8,36.7,17.1,-2213.00,-44.26
,155932003,09/25/2025 16:51,10/09/2025 01:09,XAUUSD,Buy,0.020,4027.00000,0.00000,3726.95000,4025.94000,0.0000,-15.5500,29899.0,582.43,5.43,"[sl]",0,13:08:17:54,100.0,13d 8h ,7096.0,0.00,32964.0,659.28,0.0,0.0,100.0,90.7,-3065.00,-61.30
,155963613,10/08/2025 04:00,10/08/2025 04:02,AUDNZD,Sell,0.100,0.00000,0.00000,1.13893,1.14448,0.0000,0.0000,-55.5,-31.89,-0.30,"",0,00:00:02:14,,,,,,,,,,,,
,155963604,10/01/2025 15:47,10/08/2025 04:00,AUDNZD,Sell,0.300,0.00000,0.00000,1.13643,1.14170,0.0000,-5.5400,-52.7,-96.58,-0.89,"",0,06:12:13:45,95.1,6d 4h ,124.8,1.32,53.9,93.247,-70.9,-122.65700000000001,43.2,14.6,-106.60,-184.42
,155983166,10/06/2025 04:28,10/06/2025 06:57,JP225,Buy,1.000,0.00000,0.00000,47658.00000,47906.00000,0.0000,0.0000,248.0,1.65,0.02,"",0,00:02:28:45,,,,,,,,,,,,
,155983549,10/06/2025 05:53,10/06/2025 06:57,JP225,Buy,1.000,0.00000,0.00000,47823.00000,47901.00000,0.0000,0.0000,78.0,0.52,0.00,"",0,00:01:03:59,,,,,,,,,,,,
,155974745,10/03/2025 05:24,10/03/2025 06:07,USDJPY,Sell,0.200,0.00000,0.00000,147.62300,147.69900,0.0000,0.0000,-7.6,-10.29,-0.09,"",0,00:00:42:27,9.4,3m,9.0,5.43,1.4,1.89,-7.6,-10.26,15.6,0.0,-9.00,-12.15
,155952701,09/30/2025 08:42,10/03/2025 06:07,EURJPY,Sell,0.270,0.00000,0.00000,173.92400,173.16200,0.0000,-10.1200,76.2,129.18,1.20,"",0,02:21:24:20,98.8,2d 20h ,88.4,0.08,161.9,296.27700000000004,-12.5,-22.875,92.8,50.9,-85.70,-156.83
,155938248,09/26/2025 14:59,10/01/2025 20:36,BTCUSD,Buy,0.020,0.00000,0.00000,109192.00000,117467.00000,0.0000,-6.1800,8275.0,159.32,1.51,"",0,05:05:37:18,98.5,5d 3h ,2138.7,0.04,8757.0,175.14000000000001,-362.7,-7.254,96.0,94.7,-482.00,-9.64
,155954164,09/30/2025 11:44,10/01/2025 12:20,XBRUSD,Buy,1.000,66.00000,0.00000,66.89000,66.00000,0.0000,1.1300,-89.0,-87.87,-0.82,"[sl]",0,01:00:35:55,,,,,,,,,,,,
,155948801,09/29/2025 17:33,09/30/2025 11:30,XBRUSD,Buy,1.000,0.00000,0.00000,67.87000,66.69000,0.0000,1.1100,-118.0,-116.89,-1.09,"",0,00:17:57:01,,,,,,,,,,,,
,155759748,08/20/2025 05:43,09/29/2025 17:54,AUDNZD,Sell,0.200,1.13650,0.00000,1.10343,1.13651,0.0000,-21.0300,-330.8,-403.93,-3.61,"[sl]",0,40:12:10:55,1.3,12h 38m,340.8,37.31,8.9,10.324,-331.9,-385.00399999999996,2.6,0.3,-339.70,-394.05
