date,eps
2000-03-31,-0.06958086815599293
2000-06-30,-0.06917669292839942
2000-09-30,-0.06755505289457017
2000-12-31,-0.06755505289457017
2001-03-31,-0.06355322477526637
2001-06-30,-0.06305333969794541
2001-09-30,-0.06491240609655499
2001-12-31,-0.06491240609655499
2002-03-31,-0.07525263795095924
2002-06-30,-0.07602024684978123
2002-09-30,-0.05173788771749753
2002-12-31,-0.05173788771749753
2003-03-31,-0.0392558522097073
2003-06-30,-0.04160038148941844
2003-09-30,-0.060801093931717315
2003-12-31,-0.060801093931717315
2004-03-31,-0.0036985772401806763
2004-06-30,-0.050935288325906006
2004-09-30,-0.016977804641691973
2004-12-31,-0.016977804641691973
2005-03-31,-0.007593222836118033
2005-06-30,-0.008277684241153212
2005-09-30,0.03366250183480862
2005-12-31,0.03366250183480862
2006-03-31,0.06356037019836082
2006-06-30,0.06763093553787257
2006-09-30,-0.1426279631798574
2006-12-31,-0.1426279631798574
2007-03-31,-0.06707694065936423
2007-06-30,-0.025363887295622497
2007-09-30,-0.29031013961030483
2007-12-31,-0.29031013961030483
2008-03-31,-0.23591546266170113
2008-06-30,-0.28327038202253907
2008-09-30,-0.16550099390713705
2008-12-31,-0.16550099390713705
2009-03-31,-0.23611810813554468
2009-06-30,-0.2560011246762489
2009-09-30,-0.3808059392146274
2009-12-31,-0.3808059392146274
2010-03-31,-0.10574837395528784
2010-06-30,-0.11174056165817667
2010-09-30,-0.12230039814467207
2010-12-31,-0.12230039814467207
2011-03-31,-0.17470573146380133
2011-06-30,-0.1783842141307438
2011-09-30,-0.06806006424746723
2011-12-31,-0.06806006424746723
2012-03-31,-0.017493103002778773
2012-06-30,-0.019585668798232363
2012-09-30,-0.13686839718227078
2012-12-31,-0.13686839718227078
2013-03-31,0.009901857376271313
2013-06-30,-0.37800994950852274
2013-09-30,-0.4355959820733335
2013-12-31,-0.3421953633676842
2014-03-31,-0.2598695360466525
2014-06-30,-0.15843574690034767
2014-09-30,-0.4580966003409784
2014-12-31,-0.39563031902235535
2015-03-31,-0.5890210641448231
2015-06-30,0.023403136082191675
2015-09-30,-0.15412688922514464
2015-12-31,-0.40016600229765664
2016-03-31,-0.5707805458965854
2016-06-30,-0.511019020220318
2016-09-30,-0.4552846865492247
2016-12-31,-0.24260247697981668
2017-03-31,-0.26593362818917726
2017-06-30,-0.15842725995852183
2017-09-30,-0.1343261230562665
2017-12-31,-0.026989589036578124
2018-03-31,-0.12482975334492784
2018-06-30,-0.17588133903141967
2018-09-30,0.09186744205186927
2018-12-31,0.2973023652294585
2019-03-31,0.25884500034010816
2019-06-30,0.15076583750573425
2019-09-30,0.8412768702239037
2019-12-31,0.5226467349907764
2020-03-31,-0.10478531882382493
2020-06-30,0.5731951499429938
2020-09-30,0.5182136320499131
2020-12-31,1.2153507988726915
2021-03-31,0.29858573301845165
2021-06-30,0.7817227723181961
2021-09-30,0.31315747695070556
2021-12-31,0.5116853187371999
2022-03-31,0.24076825492529466
2022-06-30,0.40198816057552805
2022-09-30,0.306339192372184
2022-12-31,0.7012336978377582
2023-03-31,0.8558015244342009
2023-06-30,0.9407257890935806
2023-09-30,0.9737940875077348
2023-12-31,0.9191302702508555
2024-03-31,1.04039135764016
2024-06-30,1.0906428205829926
2024-09-30,1.2607929324333815
2024-12-31,1.272471757983232
2025-03-31,1.509747012568228
2025-06-30,1.3975319748271295
2025-09-30,1.4799846404177401
2025-12-31,1.814787607722891
