date,eps
2000-03-31,0.0
2000-06-30,-0.000532735568724351
2000-09-30,-0.0005243160302407302
2000-12-31,-0.000522332884469455
2001-03-31,-0.000522332884469455
2001-06-30,-0.005846616903295916
2001-09-30,-0.0064937068350530095
2001-12-31,-0.007135879058188082
2002-03-31,-0.007135879058188082
2002-06-30,-0.006734589209572788
2002-09-30,-0.006940908739107502
2002-12-31,-0.006863257595353345
2003-03-31,-0.006863257595353345
2003-06-30,-0.00819934976344786
2003-09-30,-0.008621200648380144
2003-12-31,-0.011200762132529955
2004-03-31,-0.011200762132529955
2004-06-30,-0.011996128050614884
2004-09-30,-0.012910330015290636
2004-12-31,-0.016709277354634344
2005-03-31,-0.016709277354634344
2005-06-30,-0.024418926913891203
2005-09-30,-0.026790432974879777
2005-12-31,-0.02857620309722856
2006-03-31,-0.02857620309722856
2006-06-30,-0.03323532897510395
2006-09-30,-0.03698402314497225
2006-12-31,-0.040467061677099014
2007-03-31,-0.040467061677099014
2007-06-30,-0.04496977264503324
2007-09-30,-0.05397292781675757
2007-12-31,-0.063924816908059
2008-03-31,-0.063924816908059
2008-06-30,-0.04822489341137005
2008-09-30,-0.04807704386469297
2008-12-31,-0.04657679091545299
2009-03-31,-0.04657679091545299
2009-06-30,-0.06557202976592892
2009-09-30,-0.09856006414459577
2009-12-31,-0.10153033827676498
2010-03-31,-0.10153033827676498
2010-06-30,-0.0995957260242437
2010-09-30,-0.12504296582520702
2010-12-31,-0.09480353772243397
2011-03-31,-0.09480353772243397
2011-06-30,-0.41567244426647143
2011-09-30,-0.38092588433031077
2011-12-31,-0.3724494326165405
2012-03-31,-0.3724494326165405
2012-06-30,-0.3159772445073076
2012-09-30,-0.3456463013971368
2012-12-31,-0.28915327131921115
2013-03-31,-0.3109089308530742
2013-06-30,-0.6556802540673443
2013-09-30,-0.44940950265456764
2013-12-31,-0.41769890356806516
2014-03-31,-0.43091085284133607
2014-06-30,-0.3779384891412727
2014-09-30,-0.33332870896810673
2014-12-31,-0.4740826249128937
2015-03-31,-0.42081329507312437
2015-06-30,-0.4249990171151297
2015-09-30,-0.2792021108256414
2015-12-31,-0.31911008835337684
2016-03-31,-0.3044228582069299
2016-06-30,-0.2545158906764323
2016-09-30,-0.20062276161183906
2016-12-31,-0.24417241771762813
2017-03-31,-0.15985832619459453
2017-06-30,-0.31403400835950734
2017-09-30,-0.26298319723197167
2017-12-31,-0.2759493448823909
2018-03-31,-0.13898458314760503
2018-06-30,-0.3026788919046506
2018-09-30,-0.25811845394395916
2018-12-31,-0.148396720146926
2019-03-31,-0.12155870621280848
2019-06-30,-0.11178949325141171
2019-09-30,-0.2481819588787297
2019-12-31,0.10528998883268476
2020-03-31,0.032891204428163255
2020-06-30,-0.4631383946379262
2020-09-30,0.000731354695037276
2020-12-31,0.38304565430235316
2021-03-31,0.3668036198137418
2021-06-30,0.1999324547329302
2021-09-30,0.25356978290791926
2021-12-31,0.5869402653913126
2022-03-31,0.586811066440961
2022-06-30,0.6563021887883498
2022-09-30,0.7661661443417407
2022-12-31,1.0133532155613054
2023-03-31,1.0131459673057492
2023-06-30,1.129461962031107
2023-09-30,1.2592708550241567
2023-12-31,0.9949622813176068
2024-03-31,1.2038086372194587
2024-06-30,1.0398775053244094
2024-09-30,1.0510352331392874
2024-12-31,1.436756660180956
2025-03-31,1.372682453231879
2025-06-30,1.6110307904561696
2025-09-30,1.5402734814250594
