date,eps
2000-03-31,-0.14484109991321803
2000-06-30,-0.20662445380151476
2000-09-30,-0.23681680088872584
2000-12-31,-0.34818812427607665
2001-03-31,-0.2613061892249908
2001-06-30,-0.13938124148916164
2001-09-30,-0.18909356806338354
2001-12-31,-0.3111891584455222
2002-03-31,-0.04834969372028673
2002-06-30,-0.41704693209820415
2002-09-30,-0.354692646341836
2002-12-31,-0.34936745416763326
2003-03-31,-0.19607155813722937
2003-06-30,-0.20150126004307323
2003-09-30,-0.19004726014537343
2003-12-31,-0.19212050509298728
2004-03-31,-0.1408221346664745
2004-06-30,-0.12294323888352843
2004-09-30,-0.4234929890279637
2004-12-31,-0.40317439079265505
2005-03-31,-0.045892697556701945
2005-06-30,-0.18700611725957417
2005-09-30,-0.16509409227102717
2005-12-31,-0.12643504885697
2006-03-31,0.13123481433906303
2006-06-30,0.18311204530007794
2006-09-30,0.03987624012349476
2006-12-31,-0.015068277178950311
2007-03-31,0.2941032420380377
2007-06-30,0.4197254994469107
2007-09-30,0.3726094953544976
2007-12-31,0.9281139691307124
2008-03-31,0.29777635631269816
2008-06-30,0.6751035312984691
2008-09-30,0.3086260909664042
2008-12-31,0.307047482678301
2009-03-31,0.029200529091412797
2009-06-30,0.06985192022488335
2009-09-30,-0.044080970737439315
2009-12-31,-0.027711029286730544
2010-03-31,0.08597795249826998
2010-06-30,0.2158929020438925
2010-09-30,0.1312080723257073
2010-12-31,0.16726845385157132
2011-03-31,0.4080581635343878
2011-06-30,0.1030443530325543
2011-09-30,0.3887992667413528
2011-12-31,0.300054836815855
2012-03-31,0.29481280365969054
2012-06-30,-0.03566836952642602
2012-09-30,0.3133417809599872
2012-12-31,0.15129095078724267
2013-03-31,-0.08429807094490303
2013-06-30,-0.030305284200133134
2013-09-30,0.11168098391458249
2013-12-31,0.014713084489570833
2014-03-31,-0.17065097521387218
2014-06-30,-0.14107256868515344
2014-09-30,0.14826491387395727
2014-12-31,-0.33082965872943304
2015-03-31,0.3714817550721045
2015-06-30,0.18589710844754812
2015-09-30,-0.264163775139461
2015-12-31,-0.6722923777618439
2016-03-31,-0.5002284174774003
2016-06-30,-0.37029720344574313
2016-09-30,-0.3695209919252149
2016-12-31,-0.2850361496617048
2017-03-31,0.24956749138639078
2017-06-30,-0.14458292911136839
2017-09-30,-0.03889103356677872
2017-12-31,0.05464592676245184
2018-03-31,-0.13919288132131208
2018-06-30,-0.1876902662314572
2018-09-30,0.010407745123164855
2018-12-31,-0.13621923224664956
2019-03-31,-0.03124112473618293
2019-06-30,0.12170199272705587
2019-09-30,0.4023770777337795
2019-12-31,-0.05223969658092478
2020-03-31,-0.7340755639895545
2020-06-30,-1.129488969174743
2020-09-30,0.14280842826620757
2020-12-31,0.11182801203290833
2021-03-31,0.17979717458621428
2021-06-30,0.34436046435114437
2021-09-30,0.48708002839860837
2021-12-31,0.5184494771805421
2022-03-31,0.24205318301653672
2022-06-30,0.09971586729240552
2022-09-30,0.4442254388421396
2022-12-31,0.6577323362111376
2023-03-31,0.7345832330286531
2023-06-30,1.0147092414870476
2023-09-30,0.9852194602775622
2023-12-31,0.9380912838719047
2024-03-31,0.46445726431032563
2024-06-30,0.7048615895589244
2024-09-30,1.046019809324122
2024-12-31,1.3743862103252413
2025-03-31,1.2682704760229835
2025-06-30,1.2138863507076239
2025-09-30,1.3390418212957635
2025-12-31,1.3222442832984596
