date,ticker,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_other_oper_income,is_operating_expn,is_sg_and_a_expense,is_other_operating_expenses,is_nonop_income_loss,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,ebita,gross_margin,profit_margin,is_depr_exp,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,div_per_shr,ebitda_margin,is_oper_income,ebitda,ebit,oper_margin,bs_c_and_ce_and_sti_detailed,bs_cash_near_cash_item,bs_other_current_assets_detailed,bs_net_fix_asset,bs_gross_fix_asset,bs_accum_depr,bs_lt_invest,bs_long_term_investments,bs_other_assets_def_chrg_other,bs_other_noncurrent_assets_detailed,bs_tot_asset,bs_taxes_payable,bs_accrual,bs_lt_borrow,bs_other_noncur_liabs_sub_detailed,bs_other_noncurrent_liabs_detailed,bs_tot_liab,bs_pfd_eqty_and_hybrid_cptl,bs_sh_cap_and_apic,bs_common_stock,bs_pure_retained_earnings,bs_eqty_bef_minority_int_detailed,bs_minority_noncontrolling_interest,bs_total_equity,bs_tot_liab_and_eqy,bs_sh_out,net_debt,net_debt_to_shrhldr_eqty,tce_ratio,bs_add_paid_in_cap,bs_acct_note_rcv,bs_other_current_receivable,bs_disclosed_intangibles,bs_other_intangible_assets_detailed,bs_acct_payable,cf_net_inc,cf_non_cash_items_detailed,cf_def_inc_tax,cf_other_non_cash_adj_less_detailed,cf_chng_non_cash_work_cap,cf_acct_rcv_unbilled_rev,cf_inc_dec_in_ot_op_ast_liab_detail,cf_cash_from_oper,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_net_chg_in_lt_invest_detailed,cf_decr_invest,cf_incr_invest,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_divestitures,cf_other_investing_act_detailed,cf_cash_from_inv_act,cf_dvd_paid,cf_nt_csh_proc_pymt_debt,cf_proc_debt_and_capital_lease,cf_pymt_debt_and_capital_lease,cf_other_financing_act_excl_fx,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_cap_expenditures,cf_net_cash_paid_for_aquis,cf_free_cash_flow,cf_free_cash_flow_firm,free_cash_flow_equity,pr_to_free_cash_flow,cash_flow_to_net_inc,free_cash_flow_per_sh,cf_cash_for_acquis_subsidiaries,cf_proc_fr_repurch_eqty_detailed,cf_incr_cap_stock,revenue_per_sh,cash_flow_per_sh,cash_st_investments_per_sh,book_val_per_sh,tang_book_val_per_sh,ebitda_per_sh,oper_inc_per_sh,short_and_long_term_debt,enterprise_value,bs_tot_cap,tot_debt_to_tot_cap,total_debt_to_ev,diluted_ev,ttm_net_sales,ttm_cash_flow_firm,ttm_free_cash_flow_firm,market_cap,ev_to_ttm_sales,ev_to_ttm_cash_flow_firm,ev_to_ttm_free_cash_flow_firm,diluted_mkt_cap,ev_to_sh_out,ttm_ebitda,ttm_oper_inc,ev_to_ttm_ebitda,ev_to_ttm_ebit,bs_goodwill,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expenses_r_and_d,is_net_interest_expense,is_int_expense,is_int_income,bs_mkt_sec_other_st_invest,bs_accts_rec_excl_notes_rec,bs_inventories,bs_invtry_raw_materials,bs_invtry_in_progress,bs_invtry_finished_goods,bs_invtry_adj,bs_cur_asset_report,bs_tot_non_cur_asset,bs_st_borrow,bs_short_term_debt_detailed,bs_other_current_liabs_sub_detailed,bs_other_current_liabs_detailed,bs_cur_liab,bs_long_term_borrowings_detailed,bs_lt_capital_lease_obligations,bs_non_cur_liab,bs_total_capital_leases,cur_ratio,cash_conversion_cycle,bs_other_inv,bs_acct_payable_and_accruals_detailed,bs_st_capital_lease_obligations,bs_st_deferred_revenue,bs_accrued_liabilities,bs_other_ins_res_to_shrhldr_eqy,bs_notes_receivable,bs_amt_of_tsy_stock,bs_loans_receivable,cf_depr_amort,cf_asset_impairment_charge,cf_change_in_inventories,cf_change_in_accounts_payable,cf_acquisition_of_intang_assets,cf_change_in_prepaid_assets,bs_pension_liabilities,bs_deferred_tax_liabs_st,cf_decr_cap_stock,is_tot_cash_pfd_dvd,cf_stock_based_compensation
2000-12-31,0941.HK,quarterly,Q4,2000,CNY,18094234000.0,18094234000.0,19127766000.0,,,,-19127766000.0,-19127766000.0,,,4663003200.0,,,4663003200.0,,4663003200.0,4663003200.0,-19127766000.0,100.0,25.77065821078693,,,,,,,,,30.001030503221443,-19127766000.0,-19127766000.0,-19127766000.0,-105.71194116313518,27702000000.0,27702000000.0,13493000000.0,100992000000.0,133136000000.0,32144000000.0,107000000.0,107000000.0,3210000000.0,3210000000.0,156438000000.0,6735000000.0,12029000000.0,24369000000.0,3654000000.0,,72661000000.0,,348993000000.0,1986000000.0,18522000000.0,83760000000.0,17000000.0,83777000000.0,156438000000.0,18605312241.0,5903000000.0,7.046086634756556,53.55284521663535,347007000000.0,10106000000.0,2854000000.0,,,11581000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36464000000.0,8779000000.0,56989000000.0,63.98427766762007,4.1535482401184645,8779000000.0,65012897200.0,,,,0.1350347450751664,,,,,19504539120.0,19504539120.0,0.450100355921663,0.450100355921663,,,,,,,,,,7252000000.0,828000000.0,,,,,52129000000.0,104309000000.0,12095000000.0,10471000000.0,2198000000.0,2198000000.0,44638000000.0,23134000000.0,1235000000.0,28023000000.0,2859000000.0,1.1678166584524396,-459.2611461358345,828000000.0,30345000000.0,1624000000.0,,3654000000.0,-283755000000.0,,,,,,,,,,,,,,
2001-03-31,0386.HK,quarterly,Q1,2001,CNY,,,,,,,,,,,,,,,,,,,,,,113290186635.0,,,113290186635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,0857.HK,quarterly,Q1,2001,CNY,61007358300.0,61007358300.0,-61007358300.0,,,,61007358300.0,61007358300.0,,,13567295700.0,,,13567295700.0,,13567295700.0,13567295700.0,61007358300.0,100.0,22.238785743325653,,181125827815.0,0.0749053619998219,0.0749053619998219,181125827815.0,0.0749053619998219,0.0749053619998219,,39.57692125755517,61007358300.0,61007358300.0,61007358300.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3368230750741538,,,,,0.3368230750741538,0.3368230750741538,,,,,,,247352601540.0,,,,,,,,,97894544340.0,97894544340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,0941.HK,quarterly,Q1,2001,CNY,24397982700.0,24397982700.0,-24397982700.0,,,,24397982700.0,24397982700.0,,,6895261800.0,,,6895261800.0,,6895261800.0,6895261800.0,24397982700.0,100.0,28.26160623517452,,18657718121.0,0.3695661899961448,0.3695661899961448,18657718121.0,0.3695661899961448,0.3695661899961448,,39.29437010282831,24397982700.0,24397982700.0,24397982700.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3076616626842006,,,,,1.3076616626842006,1.3076616626842006,,,,,,,74965630300.0,,,,,,,,,29457272220.0,29457272220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,0386.HK,quarterly,Q2,2001,CNY,,,,,,,,,,,,,,,,,,,,,,109073120000.0,,,109073120000.0,,,,,,,,,39959000000.0,39959000000.0,5787000000.0,208791000000.0,208791000000.0,,7214000000.0,7214000000.0,2208000000.0,1201000000.0,364924000000.0,3614000000.0,50583000000.0,71691000000.0,894000000.0,565000000.0,213534000000.0,,111351000000.0,83902000000.0,13835000000.0,128416000000.0,22974000000.0,151390000000.0,364924000000.0,109073170700.0,94304000000.0,62.29209326904023,41.32343364008826,27449000000.0,46521000000.0,26193000000.0,1007000000.0,1007000000.0,13466000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3663505729000876,0.8960686189227923,1.3787356591614872,,,134263000000.0,117278000000.0,254974000000.0,52.657525865382354,1.1448268217397977,117278000000.0,,,,,,,,,1.075223666472546,,,,,,,,,,,,,,16316000000.0,54444000000.0,,,,,146711000000.0,218213000000.0,62572000000.0,62572000000.0,10714000000.0,7960000000.0,140949000000.0,71691000000.0,,72585000000.0,,1.040880034622452,,54444000000.0,67663000000.0,,2754000000.0,329000000.0,3230000000.0,4012000000.0,,,,,,,,,,,,,
2001-06-30,0857.HK,quarterly,Q2,2001,CNY,60999979300.0,60999979300.0,,20873417500.0,8316300200.0,12557117300.0,752269700.0,752269700.0,19972347200.0,6572026500.0,13565654700.0,-165334000.0,-165334000.0,13730988700.0,165334000.0,13565654700.0,13565654700.0,11639513600.0,68.19352215747391,22.238785743325653,9085103300.0,175824000000.0,0.0771547382609882,0.0771547382609882,175824000000.0,0.0771547382609882,0.0771547382609882,,24.97868028050469,20724616900.0,20724616900.0,20724616900.0,33.97479333242987,30859591100.0,18608341700.0,28015846300.0,338926433300.0,551942758900.0,213016325600.0,,,8646968200.0,5505622200.0,456743441700.0,,8870169100.0,69357613000.0,5687489600.0,1297871900.0,166342537400.0,,175584708000.0,175584708000.0,45690050900.0,285316883800.0,5084020500.0,290400904300.0,456743441700.0,,68473076100.0,23.578809530587264,63.3285341983926,,16583000200.0,3447213900.0,3141346000.0,3141346000.0,10639242900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3469377292064792,,0.1755140998953498,1.2585014497451998,1.6337903716216216,0.1178713764901265,0.1178713764901265,87081417800.0,61305847200.0,313440197200.0,27.78246650490558,1.4204422869471414,73557096600.0,252906001000.0,,,,0.2424056643875366,,,,0.3486773546273546,63172581400.0,63172581400.0,0.9704502466318402,0.9704502466318402,,19401944900.0,19401944900.0,41598034400.0,,,,,12251249400.0,13135786300.0,33711602600.0,727469600.0,,33670269100.0,-686136100.0,109170040200.0,347573401500.0,17723804800.0,17723804800.0,54064218000.0,54064218000.0,91297434800.0,69357613000.0,,75045102600.0,,1.1957624049257516,290.0226853138351,,19509412000.0,,,4389617700.0,64042124900.0,,,,,,,,,,,,,,
2001-06-30,0941.HK,quarterly,Q2,2001,CNY,24395031700.0,24395031700.0,,5422955200.0,1397072300.0,4025882900.0,-173600700.0,-173600700.0,10341641700.0,3447213900.0,6894427800.0,,,6894427800.0,,6894427800.0,6894427800.0,6133891400.0,63.91053880040664,28.26160623517452,4034149600.0,18605341875.0,0.3705617368560178,0.3705617368560178,18700015845.0,0.3686856662125999,0.3686856662125999,,39.411481089385845,10168041000.0,10168041000.0,10168041000.0,41.680786174178245,30363589100.0,30363589100.0,16955001700.0,111005247600.0,143104843700.0,32099596100.0,,,2992545400.0,2992545400.0,171410024500.0,,,31628394200.0,3182679500.0,3182679500.0,73937364800.0,,348515805300.0,1984008000.0,32289730200.0,97439592900.0,33066800.0,97472659700.0,171410024500.0,,6423225900.0,6.589771859893139,56.86520376175549,346531797300.0,8911502600.0,2521343500.0,,,13400320700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.311184275134423,,1.6319823255061794,1.842145037176319,5.238960958356483,0.5465119140682277,0.5465119140682277,37968953100.0,7638430800.0,72275758100.0,52.53345533569713,4.970779220779221,7638430800.0,84915412400.0,,,,0.0899534087406728,,,,0.4105504134951565,33466421700.0,33466421700.0,0.22824163480854,0.22824163480854,,8804035500.0,8804035500.0,15590996200.0,,,,,,6390159100.0,1182138100.0,,,,,57412231500.0,113997793000.0,6340558900.0,6340558900.0,19385411500.0,19385411500.0,39126291100.0,30446256100.0,1182138100.0,34811073700.0,1182138100.0,1.467356856116628,-305.13202426684165,1182138100.0,13400320700.0,,,,-283365942600.0,,,,,,,,,,,,,,
2001-06-30,600519.SS,quarterly,Q1,2001,CNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336439213.5,336439213.5,99118574.85000002,186500725.74,186500725.74,,,,16848889.25,16168889.27,1214455217.62,218621799.3,-250533662.96,,,,642491805.84,,274470324.02,185000000.0,172340372.66,561545403.24,,561545403.24,1204037209.08,929586372.0,-227439213.5,-40.50237294931507,46.20834196553435,89470324.02,,,679999.98,679999.98,31911863.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109000000.0,-227439213.5,466340372.66,23.373485632021367,-0.4792489312754328,-227439213.5,,,,,,,,,,,,,,,,,,,,,,,,575547814.28,,,,575547814.28,1011105602.63,203349614.99,109000000.0,109000000.0,533491805.84,533491805.84,642491805.84,,,,,1.5737252886954265,,,,,,,,,,,,,,,,,,,,,
2001-09-30,0386.HK,quarterly,Q3,2001,CNY,,,,,,,,,,,,,,,,,,,,,,109073120000.0,,,109073120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29086622437.756664,,,,29086622437.756664,,,,29086622437.756664,,,,29086622437.756664,0.2666708574739281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,0857.HK,quarterly,Q3,2001,CNY,58280940000.0,58280940000.0,-58280940000.0,,,,58280940000.0,58280940000.0,,,9804424800.0,,,9804424800.0,,9804424800.0,9804424800.0,58280940000.0,100.0,16.822695035460995,,164402550596.0,0.0596366952000229,0.0596366952000229,164402550596.0,0.0596366952000229,0.0596366952000229,,22.78051557580746,58280940000.0,58280940000.0,58280940000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3545014343677585,,,,,0.3545014343677585,0.3545014343677585,,89990821498.71846,,,,89990821498.71846,245706664600.0,,,89990821498.71846,0.3662530751667631,,,89990821498.71846,0.5473809327925839,55973245000.0,55973245000.0,1.6077470852139886,1.6077470852139886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
